Fecha,O3,PM25,PRE,RS,TMP,VEL,DIR,HUM,LLU,AOD
2021-08-11,27.0,16.05,765.31,236.9,15.65,1.33,115.3,71.53,0.0,0.28892
2021-08-15,26.73,10.6,764.98,285.28,14.56,2.11,138.86,83.46,0.3,0.42918
2021-08-20,31.34,16.09,763.46,300.36,15.38,1.69,135.32,78.53,0.1,0.18878
2021-08-24,27.8,12.65,763.02,232.81,14.78,1.94,155.88,82.32,2.5,0.527
2021-08-31,27.0,15.96,764.22,255.46,15.04,1.23,167.85,77.53,0.7,0.35392
2021-09-01,21.83,16.35,764.02,216.34,15.43,1.2,107.37,74.55,0.0,0.53544
2021-09-02,24.91,12.23,764.53,248.62,15.95,1.36,111.58,77.21,0.0,0.45861
2021-09-03,20.36,18.54,764.29,269.9,15.53,1.37,173.23,73.08,0.0,0.44512
2021-09-04,25.44,13.57,763.65,266.6,15.96,1.63,123.12,74.75,0.0,0.34726999999999997
2021-09-05,31.35,10.62,763.82,228.98,15.25,1.76,150.75,76.25,0.0,0.43671
2021-09-07,22.49,13.73,764.45,221.09,15.05,1.25,181.84,75.45,0.0,0.52749
2021-09-11,25.66,11.85,764.87,211.77,14.94,1.61,125.64,81.41,0.0,0.581
2021-09-14,27.18,12.3,765.11,254.11,13.92,1.55,202.73,72.28,0.0,0.16378
2021-09-16,41.02,14.85,764.86,307.85,16.76,1.36,129.85,62.97,0.0,0.3093
